County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Franklin County, Illinois",35488.0,103.4,59,73.7,42
"Franklin County, Indiana",50019.0,64.7,18,57.1,16
"Franklin County, Iowa",36195.0,54.7,8,45.3,7
"Franklin County, Ohio",87031.5,70.3,736,53.5,553
"Franklin County, Tennessee",71304.0,70.6,41,54.4,31
"Franklin County, Washington",48756.0,52.7,27,38.5,19
"Frederick County, Maryland",81031.5,52.7,124,40.6,95
"Frederick County, Virginia",98682.0,72.3,64,52.6,46
"Fremont County, Colorado",36749.0,56.4,38,41.3,28
"Fremont County, Wyoming",50131.0,45.7,22,38.6,19
"Fresno County, California",18417.0,50.8,411,36.2,291
"Fulton County, Georgia",70281.0,54.5,431,38.3,298
"Fulton County, Illinois",50877.5,74.9,38,54.2,28
"Fulton County, New York",37916.0,80,58,47.6,35
"Gadsden County, Florida",34291.0,66.4,38,51.5,29
"Gage County, Nebraska",42310.0,59.5,19,40.6,13
"Gallatin County, Montana",52179.0,37.1,29,27.8,21
"Gallia County, Ohio",46929.0,88.7,35,67.2,26
"Galveston County, Texas",43322.0,63.2,192,54.5,162
"Garfield County, Colorado",62160.0,43.2,19,26.1,11
"Garfield County, Oklahoma",43560.0,62.4,46,51.8,39
"Garland County, Arkansas",46562.0,80.6,121,62.5,95
"Garvin County, Oklahoma",30316.0,87.9,32,72.2,26
"Gasconade County, Missouri",34873.0,64,15,38,9
"Geauga County, Ohio",78759.5,51.4,63,35.2,43
"Genesee County, New York",56668.333333333336,80.4,61,58.2,45
"Geneva County, Alabama",21608.0,90.3,35,71.2,27
"George County, Mississippi",38896.0,74.7,19,76.9,18
"Gibson County, Indiana",37452.0,70,29,48.6,20
"Gibson County, Tennessee",54828.0,80.5,52,62.1,40
"Gila County, Arizona",102782.33333333333,54.3,52,43.8,42
"Giles County, Tennessee",36690.0,82.1,33,59.9,24
"Glenn County, California",36830.0,61.2,19,43.8,14
"Gloucester County, New Jersey",78373.0,80.5,250,55.5,172
"Gonzales County, Texas",33724.0,47.3,12,40.4,10
"Goshen County, Wyoming",30226.0,52.5,10,40.5,8
"Grady County, Oklahoma",33231.0,67.6,41,56.7,35
"Grafton County, New Hampshire",41990.5,56.4,65,38.6,44
"Graham County, Arizona",46917.0,45.5,16,33.8,12
"Grand Forks County, North Dakota",61406.333333333336,59.7,36,42.6,26
"Grant County, Arkansas",42506.333333333336,96.1,21,66.9,14
"Grant County, Indiana",36325.0,85.5,78,64,59
"Grant County, New Mexico",24350.5,44.7,22,30,15
"Grant County, Oklahoma",52017.5,60.2,4,64,5
"Grant County, Oregon",32439.0,41.9,6,29.8,4
"Grant County, Washington",29646.0,57.1,49,44.5,39
"Grant County, Wisconsin",48882.333333333336,51.5,33,39.7,26
"Graves County, Kentucky",36067.0,85.8,43,72.8,36
"Grays Harbor County, Washington",36788.0,81.9,81,62.6,61
"Grayson County, Virginia",23743.0,63.6,16,62.7,16
"Green County, Wisconsin",51735.0,58.6,27,41.2,19
"Green Lake County, Wisconsin",44518.0,53.7,15,40.7,12
"Greene County, Alabama",12379.0,87.9,10,34.5,5
"Greene County, Arkansas",31094.0,89.2,45,69.6,34
"Greene County, Georgia",21202.0,69.9,19,37.3,10
"Greene County, Iowa",39657.0,63.7,9,56.4,8
"Greene County, Mississippi",43993.0,46.1,7,45.9,7
"Greene County, Missouri",53347.0,69.8,220,51.3,162
"Greene County, New York",52459.0,72.7,51,54.1,38
"Greene County, Pennsylvania",40005.5,84.2,42,60,29
"Greensville County, Virginia",43786.0,81.5,12,53.1,8
"Greenville County, South Carolina",79367.5,64.6,324,48.8,241
"Greenwood County, South Carolina",24054.0,63.2,54,50.4,43
"Gregg County, Texas",51430.0,71.9,97,55.6,76
"Grundy County, Iowa",48244.0,48.7,9,33.5,6
"Guadalupe County, Texas",52226.0,58.6,80,41.6,56
"Guilford County, North Carolina",108197.0,70.3,367,48.3,251
"Gwinnett County, Georgia",65595.0,51.8,288,37.3,200
"Hale County, Alabama",19262.5,71,14,57.8,11
"Hall County, Georgia",60688.0,61.2,108,45.6,81
"Hamilton County, Illinois",31936.0,85.2,11,80.2,10
"Hamilton County, Nebraska",54226.0,48,6,34.1,4
"Hamilton County, Ohio",63295.71428571428,75.1,673,55.7,500
"Hamilton County, Tennessee",65072.75,68.4,286,49.6,206
"Hampden County, Massachusetts",71730.0,67.8,368,49.5,271
